[2022-04-12 10:34:38,805] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,806] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,806] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,806] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,807] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,808] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,809] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,810] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,810] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,811] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,811] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,812] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,812] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,813] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,813] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,814] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,814] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,815] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
[2022-04-12 10:34:38,815] {/Users/cheyuanliu/git/realtime/www/oho/oho-flask/navel/downloadZhsxs.py:main_get:115} INFO - info test
